state_code,county_fips,county_name,latitude,longitude,county_name_normalized,county_name_base,county_name_base_normalized
NE,31019,Buffalo County,40.855265,-99.074984,buffalo county,Buffalo,buffalo
NE,31021,Burt County,41.854179,-96.337746,burt county,Burt,burt
NE,31023,Butler County,41.226054,-97.132003,butler county,Butler,butler
NE,31025,Cass County,40.909878,-96.140609,cass county,Cass,cass
NE,31027,Cedar County,42.60456,-97.25687,cedar county,Cedar,cedar
NE,31029,Chase County,40.53039,-101.694192,chase county,Chase,chase
NE,31031,Cherry County,42.571323,-101.047653,cherry county,Cherry,cherry
NE,31033,Cheyenne County,41.214236,-103.011929,cheyenne county,Cheyenne,cheyenne
NE,31035,Clay County,40.523669,-98.050858,clay county,Clay,clay
NE,31037,Colfax County,41.57496,-97.088945,colfax county,Colfax,colfax
NE,31039,Cuming County,41.915865,-96.788517,cuming county,Cuming,cuming
NE,31041,Custer County,41.393893,-99.726866,custer county,Custer,custer
NE,31043,Dakota County,42.391624,-96.561327,dakota county,Dakota,dakota
NE,31045,Dawes County,42.713038,-103.135436,dawes county,Dawes,dawes
NE,31047,Dawson County,40.86784,-99.815583,dawson county,Dawson,dawson
NE,31049,Deuel County,41.111903,-102.332609,deuel county,Deuel,deuel
NE,31051,Dixon County,42.485086,-96.855784,dixon county,Dixon,dixon
NE,31053,Dodge County,41.577008,-96.645852,dodge county,Dodge,dodge
NE,31055,Douglas County,41.297091,-96.154066,douglas county,Douglas,douglas
NE,31057,Dundy County,40.180165,-101.681133,dundy county,Dundy,dundy
NE,31059,Fillmore County,40.52504,-97.596705,fillmore county,Fillmore,fillmore
NE,31061,Franklin County,40.183203,-98.96208,franklin county,Franklin,franklin
NE,31063,Frontier County,40.530947,-100.406683,frontier county,Frontier,frontier
NE,31065,Furnas County,40.192252,-99.908637,furnas county,Furnas,furnas
NE,31067,Gage County,40.255234,-96.683453,gage county,Gage,gage
NE,31069,Garden County,41.633364,-102.302985,garden county,Garden,garden
NE,31071,Garfield County,41.906912,-98.951283,garfield county,Garfield,garfield
NE,31073,Gosper County,40.509095,-99.823206,gosper county,Gosper,gosper
NE,31075,Grant County,41.913957,-101.755965,grant county,Grant,grant
NE,31077,Greeley County,41.567563,-98.530567,greeley county,Greeley,greeley
NE,31079,Hall County,40.866027,-98.502664,hall county,Hall,hall
NE,31081,Hamilton County,40.872817,-98.022329,hamilton county,Hamilton,hamilton
NE,31083,Harlan County,40.178766,-99.403418,harlan county,Harlan,harlan
NE,31085,Hayes County,40.537234,-101.047963,hayes county,Hayes,hayes
NE,31087,Hitchcock County,40.176896,-101.044217,hitchcock county,Hitchcock,hitchcock
NE,31089,Holt County,42.459287,-98.784766,holt county,Holt,holt
NE,31091,Hooker County,41.920317,-101.117324,hooker county,Hooker,hooker
NE,31093,Howard County,41.216851,-98.513342,howard county,Howard,howard
NE,31095,Jefferson County,40.175736,-97.143103,jefferson county,Jefferson,jefferson
NE,31097,Johnson County,40.394955,-96.265264,johnson county,Johnson,johnson
NE,31099,Kearney County,40.50912,-98.947602,kearney county,Kearney,kearney
NE,31101,Keith County,41.194245,-101.644449,keith county,Keith,keith
NE,31103,Keya Paha County,42.87548,-99.718351,keya paha county,Keya Paha,keya paha
NE,31105,Kimball County,41.199274,-103.703153,kimball county,Kimball,kimball
NE,31107,Knox County,42.634404,-97.891349,knox county,Knox,knox
NE,31109,Lancaster County,40.783547,-96.688658,lancaster county,Lancaster,lancaster
NE,31111,Lincoln County,41.050322,-100.744481,lincoln county,Lincoln,lincoln
NE,31113,Logan County,41.542155,-100.443665,logan county,Logan,logan
NE,31115,Loup County,41.898204,-99.514525,loup county,Loup,loup
NE,31117,McPherson County,41.648414,-101.120851,mcpherson county,McPherson,mcpherson
NE,31119,Madison County,41.909929,-97.606856,madison county,Madison,madison
NE,31121,Merrick County,41.16979,-98.031057,merrick county,Merrick,merrick
NE,31123,Morrill County,41.732204,-102.990594,morrill county,Morrill,morrill
NE,31125,Nance County,41.402385,-97.991408,nance county,Nance,nance
NE,31127,Nemaha County,40.387238,-95.852461,nemaha county,Nemaha,nemaha
NE,31129,Nuckolls County,40.176492,-98.046842,nuckolls county,Nuckolls,nuckolls
NE,31131,Otoe County,40.637992,-96.131027,otoe county,Otoe,otoe
NE,31133,Pawnee County,40.137797,-96.245214,pawnee county,Pawnee,pawnee
NE,31135,Perkins County,40.857624,-101.62747,perkins county,Perkins,perkins
NE,31137,Phelps County,40.516365,-99.406557,phelps county,Phelps,phelps
NE,31139,Pierce County,42.271413,-97.610992,pierce county,Pierce,pierce
NE,31141,Platte County,41.576866,-97.513467,platte county,Platte,platte
NE,31143,Polk County,41.187925,-97.570663,polk county,Polk,polk
NE,31145,Red Willow County,40.16942,-100.468576,red willow county,Red Willow,red willow
NE,31147,Richardson County,40.123743,-95.718603,richardson county,Richardson,richardson
NE,31149,Rock County,42.394749,-99.420851,rock county,Rock,rock
NE,31151,Saline County,40.516802,-97.131755,saline county,Saline,saline
NE,31153,Sarpy County,41.115064,-96.109125,sarpy county,Sarpy,sarpy
NE,31155,Saunders County,41.222966,-96.642696,saunders county,Saunders,saunders
NE,31157,Scotts Bluff County,41.850506,-103.703021,scotts bluff county,Scotts Bluff,scotts bluff
NE,31159,Seward County,40.871944,-97.140383,seward county,Seward,seward
NE,31161,Sheridan County,42.512289,-102.36828,sheridan county,Sheridan,sheridan
NE,31163,Sherman County,41.218743,-98.972849,sherman county,Sherman,sherman
NE,31165,Sioux County,42.470668,-103.73217,sioux county,Sioux,sioux
NE,31167,Stanton County,41.905045,-97.177109,stanton county,Stanton,stanton
NE,31169,Thayer County,40.17342,-97.596258,thayer county,Thayer,thayer
NE,31171,Thomas County,41.85573,-100.524703,thomas county,Thomas,thomas
NE,31173,Thurston County,42.154061,-96.533943,thurston county,Thurston,thurston
NE,31175,Valley County,41.564094,-98.983484,valley county,Valley,valley
NE,31177,Washington County,41.533973,-96.224577,washington county,Washington,washington
NE,31179,Wayne County,42.210746,-97.126243,wayne county,Wayne,wayne
NE,31181,Webster County,40.180646,-98.49859,webster county,Webster,webster
