cbsa_code,cbsa_name,cbsa_type,latitude,longitude,principal_city,states,is_metro,cbsa_name_normalized
37140,"Paducah, KY-IL Metro Area",1,37.094234,-88.71705,Paducah,KY-IL,True,"paducah, ky-il metro area"
37220,"Pahrump, NV Micro Area",2,37.965864,-116.459011,Pahrump,NV,False,"pahrump, nv micro area"
37260,"Palatka, FL Micro Area",2,29.593896,-81.732039,Palatka,FL,False,"palatka, fl micro area"
37500,"Paragould, AR Micro Area",2,36.120607,-90.566346,Paragould,AR,False,"paragould, ar micro area"
37620,"Parkersburg-Vienna, WV Metro Area",1,39.141531,-81.460402,Parkersburg-Vienna,WV,True,"parkersburg-vienna, wv metro area"
37740,"Payson, AZ Micro Area",2,33.789618,-110.81187,Payson,AZ,False,"payson, az micro area"
37800,"Pella, IA Micro Area",2,41.331433,-93.093868,Pella,IA,False,"pella, ia micro area"
37900,"Peoria, IL Metro Area",1,40.788069,-89.514639,Peoria,IL,True,"peoria, il metro area"
37940,"Peru, IN Micro Area",2,40.772883,-86.044258,Peru,IN,False,"peru, in micro area"
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",1,39.894958,-75.311982,Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,True,"philadelphia-camden-wilmington, pa-nj-de-md metro area"
38060,"Phoenix-Mesa-Chandler, AZ Metro Area",1,33.185765,-112.067862,Phoenix-Mesa-Chandler,AZ,True,"phoenix-mesa-chandler, az metro area"
38100,"Picayune, MS Micro Area",2,30.774793,-89.586904,Picayune,MS,False,"picayune, ms micro area"
38220,"Pine Bluff, AR Micro Area",2,34.121115,-92.041969,Pine Bluff,AR,False,"pine bluff, ar micro area"
38240,"Pinehurst-Southern Pines, NC Metro Area",1,35.308273,-79.492723,Pinehurst-Southern Pines,NC,True,"pinehurst-southern pines, nc metro area"
38300,"Pittsburgh, PA Metro Area",1,40.471332,-79.863986,Pittsburgh,PA,True,"pittsburgh, pa metro area"
38380,"Plainview, TX Micro Area",2,34.066933,-101.571422,Plainview,TX,False,"plainview, tx micro area"
38500,"Plymouth, IN Micro Area",2,41.325003,-86.269036,Plymouth,IN,False,"plymouth, in micro area"
38660,"Ponce, PR Metro Area",1,18.022864,-66.645703,Ponce,PR,True,"ponce, pr metro area"
38700,"Pontiac, IL Micro Area",2,40.894376,-88.552852,Pontiac,IL,False,"pontiac, il micro area"
38860,"Portland-South Portland, ME Metro Area",1,43.651417,-70.418375,Portland-South Portland,ME,True,"portland-south portland, me metro area"
38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1,45.600622,-122.484378,Portland-Vancouver-Hillsboro,OR-WA,True,"portland-vancouver-hillsboro, or-wa metro area"
